well_96,source_plate,Quadrant,well_384,sample_id,sample_type
A1,P1,Q1,A1,BLANK_P1_1,blank
A10,P1,Q1,A19,CLIN-0008,sample
A11,P1,Q1,A21,CLIN-0009,sample
A12,P1,Q1,A23,CLIN-0010,sample
A2,P1,Q1,A3,BLANK_P1_2,blank
A3,P1,Q1,A5,CLIN-0001,sample
A4,P1,Q1,A7,CLIN-0002,sample
A5,P1,Q1,A9,CLIN-0003,sample
A6,P1,Q1,A11,CLIN-0004,sample
A7,P1,Q1,A13,CLIN-0005,sample
A8,P1,Q1,A15,CLIN-0006,sample
A9,P1,Q1,A17,CLIN-0007,sample
B1,P1,Q1,C1,POOL_P1_13,pool
B10,P1,Q1,C19,CLIN-0018,sample
B11,P1,Q1,C21,CLIN-0019,sample
B12,P1,Q1,C23,CLIN-0020,sample
B2,P1,Q1,C3,POOL_P1_14,pool
B3,P1,Q1,C5,CLIN-0011,sample
B4,P1,Q1,C7,CLIN-0012,sample
B5,P1,Q1,C9,CLIN-0013,sample
B6,P1,Q1,C11,CLIN-0014,sample
B7,P1,Q1,C13,CLIN-0015,sample
B8,P1,Q1,C15,CLIN-0016,sample
B9,P1,Q1,C17,CLIN-0017,sample
C1,P1,Q1,E1,CLIN-0021,sample
C10,P1,Q1,E19,CLIN-0030,sample
C11,P1,Q1,E21,CLIN-0031,sample
C12,P1,Q1,E23,CLIN-0032,sample
C2,P1,Q1,E3,CLIN-0022,sample
C3,P1,Q1,E5,CLIN-0023,sample
C4,P1,Q1,E7,CLIN-0024,sample
C5,P1,Q1,E9,CLIN-0025,sample
C6,P1,Q1,E11,CLIN-0026,sample
C7,P1,Q1,E13,CLIN-0027,sample
C8,P1,Q1,E15,CLIN-0028,sample
C9,P1,Q1,E17,CLIN-0029,sample
D1,P1,Q1,G1,CLIN-0033,sample
D10,P1,Q1,G19,CLIN-0042,sample
D11,P1,Q1,G21,CLIN-0043,sample
D12,P1,Q1,G23,CLIN-0044,sample
D2,P1,Q1,G3,CLIN-0034,sample
D3,P1,Q1,G5,CLIN-0035,sample
D4,P1,Q1,G7,CLIN-0036,sample
D5,P1,Q1,G9,CLIN-0037,sample
D6,P1,Q1,G11,CLIN-0038,sample
D7,P1,Q1,G13,CLIN-0039,sample
D8,P1,Q1,G15,CLIN-0040,sample
D9,P1,Q1,G17,CLIN-0041,sample
E1,P1,Q1,I1,CLIN-0045,sample
E10,P1,Q1,I19,CLIN-0054,sample
E11,P1,Q1,I21,CLIN-0055,sample
E12,P1,Q1,I23,CLIN-0056,sample
E2,P1,Q1,I3,CLIN-0046,sample
E3,P1,Q1,I5,CLIN-0047,sample
E4,P1,Q1,I7,CLIN-0048,sample
E5,P1,Q1,I9,CLIN-0049,sample
E6,P1,Q1,I11,CLIN-0050,sample
E7,P1,Q1,I13,CLIN-0051,sample
E8,P1,Q1,I15,CLIN-0052,sample
E9,P1,Q1,I17,CLIN-0053,sample
F1,P1,Q1,K1,CLIN-0057,sample
F10,P1,Q1,K19,CLIN-0066,sample
F11,P1,Q1,K21,CLIN-0067,sample
F12,P1,Q1,K23,CLIN-0068,sample
F2,P1,Q1,K3,CLIN-0058,sample
F3,P1,Q1,K5,CLIN-0059,sample
F4,P1,Q1,K7,CLIN-0060,sample
F5,P1,Q1,K9,CLIN-0061,sample
F6,P1,Q1,K11,CLIN-0062,sample
F7,P1,Q1,K13,CLIN-0063,sample
F8,P1,Q1,K15,CLIN-0064,sample
F9,P1,Q1,K17,CLIN-0065,sample
G1,P1,Q1,M1,CLIN-0069,sample
G10,P1,Q1,M19,CLIN-0078,sample
G11,P1,Q1,M21,CLIN-0079,sample
G12,P1,Q1,M23,CLIN-0080,sample
G2,P1,Q1,M3,CLIN-0070,sample
G3,P1,Q1,M5,CLIN-0071,sample
G4,P1,Q1,M7,CLIN-0072,sample
G5,P1,Q1,M9,CLIN-0073,sample
G6,P1,Q1,M11,CLIN-0074,sample
G7,P1,Q1,M13,CLIN-0075,sample
G8,P1,Q1,M15,CLIN-0076,sample
G9,P1,Q1,M17,CLIN-0077,sample
H1,P1,Q1,O1,CLIN-0081,sample
H10,P1,Q1,O19,CLIN-0090,sample
H11,P1,Q1,O21,CLIN-0091,sample
H12,P1,Q1,O23,CLIN-0092,sample
H2,P1,Q1,O3,CLIN-0082,sample
H3,P1,Q1,O5,CLIN-0083,sample
